time,symbol,price
09:22:00,STOCK_5559,2161.325
09:22:00,STOCK_3848,2064.35
09:22:00,STOCK_3940,1962.575
09:22:00,STOCK_3643,1862.9
09:22:00,STOCK_3447,1762.525
09:22:00,STOCK_5461,1663.8000000000002
09:22:00,STOCK_4580,1564.65
09:22:00,STOCK_3140,1465.2
09:22:00,STOCK_3337,1364.875
09:22:00,STOCK_4688,1265.25
09:22:00,STOCK_5047,1166.5
09:22:00,STOCK_4063,1067.8000000000002
09:22:00,STOCK_3311,969.075
09:22:00,STOCK_5769,871.575
09:22:00,STOCK_3365,774.2750000000001
09:22:00,STOCK_4127,677.5
09:22:00,STOCK_4699,582.475
09:22:00,STOCK_4441,490.0
09:22:00,STOCK_4989,401.175
09:22:00,STOCK_3415,318.275
09:22:00,STOCK_3979,241.3
09:22:00,STOCK_3824,175.64999999999998
09:22:00,STOCK_5628,121.45
09:22:00,STOCK_3561,81.25
09:22:00,STOCK_5226,52.475
09:22:00,STOCK_4548,33.875
09:22:00,STOCK_4487,21.15
09:22:00,STOCK_5904,13.7
09:22:00,STOCK_5498,9.3
09:22:00,STOCK_3245,6.775
09:22:00,STOCK_4771,5.074999999999999
09:22:00,STOCK_4583,3.625
09:22:00,STOCK_4073,2.975
09:22:00,STOCK_5151,2.4000000000000004
09:22:00,STOCK_4137,2.075
09:22:00,STOCK_4935,2.025
09:22:00,STOCK_4731,1.875
09:22:00,STOCK_4146,1.775
09:22:00,STOCK_3401,1.625
09:22:00,STOCK_3682,1.525
09:22:00,STOCK_6061,2.775
09:22:00,STOCK_4239,3.025
09:22:00,STOCK_6078,3.275
09:22:00,STOCK_4518,3.475
09:22:00,STOCK_3213,3.775
09:22:00,STOCK_3660,3.925
09:22:00,STOCK_5375,4.275
09:22:00,STOCK_3666,4.625
09:22:00,STOCK_4427,5.125
09:22:00,STOCK_4381,5.675000000000001
09:22:00,STOCK_3683,6.475
09:22:00,STOCK_3887,7.425000000000001
09:22:00,STOCK_4917,8.925
09:22:00,STOCK_5265,10.775
09:22:00,STOCK_4310,13.5
09:22:00,STOCK_3130,17.275
09:22:00,STOCK_3584,22.3
09:22:00,STOCK_5150,29.7
09:22:00,STOCK_3228,40.6
09:22:00,STOCK_3896,57.15
09:22:00,STOCK_4890,80.725
09:22:00,STOCK_5050,114.675
09:22:00,STOCK_4154,160.875
09:22:00,STOCK_4949,220.65
09:22:00,STOCK_4783,292.35
09:22:00,STOCK_3870,373.15
09:22:00,STOCK_3177,460.7
09:22:00,STOCK_3439,553.7
09:22:00,STOCK_5282,649.2
09:22:00,STOCK_5440,746.375
09:22:00,STOCK_4144,844.15
09:22:00,STOCK_4781,942.425
09:22:00,STOCK_3954,1041.675
09:22:00,STOCK_4060,1135.3249999999998
09:22:00,STOCK_4993,1241.4
09:22:00,STOCK_4450,1340.9
09:22:00,STOCK_3138,1450.125
09:22:00,STOCK_5651,1556.95
09:22:00,STOCK_5998,1657.425
09:22:00,STOCK_4198,1746.625
09:23:00,STOCK_5559,2140.3
09:23:00,STOCK_3848,2049.0
09:23:00,STOCK_3940,1944.15
09:23:00,STOCK_3643,1843.775
09:23:00,STOCK_3447,1743.875
09:23:00,STOCK_5461,1645.3
09:23:00,STOCK_4580,1545.45
09:23:00,STOCK_3140,1447.475
09:23:00,STOCK_3337,1346.325
09:23:00,STOCK_4688,1246.125
09:23:00,STOCK_5047,1148.425
09:23:00,STOCK_4063,1049.375
09:23:00,STOCK_3311,951.375
09:23:00,STOCK_5769,853.575
09:23:00,STOCK_3365,755.7
09:23:00,STOCK_4127,659.375
09:23:00,STOCK_4699,564.975
09:23:00,STOCK_4441,473.2000000000001
09:23:00,STOCK_4989,385.125
09:23:00,STOCK_3415,303.225
09:23:00,STOCK_3979,227.925
09:23:00,STOCK_3824,164.125
09:23:00,STOCK_5628,112.3
09:23:00,STOCK_3561,74.725
09:23:00,STOCK_5226,48.150000000000006
09:23:00,STOCK_4548,30.9
09:23:00,STOCK_4487,19.375
09:23:00,STOCK_5904,12.875
09:23:00,STOCK_5498,8.7
09:23:00,STOCK_3245,6.324999999999999
09:23:00,STOCK_4771,4.725
09:23:00,STOCK_4583,3.425
09:23:00,STOCK_4073,2.775
09:23:00,STOCK_5151,2.275
09:23:00,STOCK_4137,2.025
09:23:00,STOCK_4935,1.975
09:23:00,STOCK_4731,1.825
09:23:00,STOCK_4146,1.725
09:23:00,STOCK_3401,1.65
